Parent,total_capacity,num_plants,avg_age,num_countries,ISO 14001_avg,ISO 50001_avg,ResponsibleSteel Certification_avg,Latitude_centroid,Longitude_centroid,Latitude_largest,Longitude_largest
Daido Steel Co Ltd [100.0%],0.0,1,63.0,1,2022.0,,,35.016404,136.864744,35.016404,136.864744
Danieli & C Officine Meccaniche SpA [99.9%]; small shareholder(s) [0.1%],0.0,1,212.0,1,,,,46.008483,13.255117,46.008483,13.255117
Dar Al Arkan Real Estate Development Company SJSC [100.0%],0.0,1,,1,,,,21.524005,39.240633,21.524005,39.240633
Daric Investment Holding Co [100.0%],0.0,4,,1,,,,37.987218999999996,46.35052,38.50168,47.757969
Daye Huaxin Industrial Co Ltd [56.3%]; Hubei Xinxin Steel Group Co Ltd [21.1%]; Jin Jun'an Investment Group Co Ltd [18.9%]; unknown [3.7%],0.0,1,32.0,1,,,,31.006752,113.754995,31.006752,113.754995
Dazhou Hangda Steel Co Ltd [100.0%],0.0,1,21.86,1,,,,31.435149,107.685981,31.435149,107.685981
DeAcero SAPI de CV [100.0%],0.0,2,33.0,1,,,,23.014859,-100.943702,20.518556,-100.925556
Demirsan Haddecilik Sanayi Ve Ticaret AŞ; Longofer,0.0,1,23.0,1,,,,33.501325,-7.467363,33.501325,-7.467363
Deutsche Edelstahlwerke GmbH [100.0%],0.0,1,98.0,1,2021.0,2021.0,,50.922844,8.024006,50.922844,8.024006
Devki Steel Mills Ltd [100.0%],0.0,1,3.0,1,,,,-3.77734,39.279963,-3.77734,39.279963
Diler Holding AŞ,0.0,2,36.0,1,,,,38.7345465,32.8699215,40.783161,29.533568
Donelektrostal LLC [100.0%],0.0,1,1.0,1,,,,47.740352,40.18942,47.740352,40.18942
Dongkuk Steel Mill Co Ltd [100.0%],0.0,2,43.5,1,,,,36.7439675,128.01810799999998,37.486465,126.638607
Duferco Participations Holding SA,0.0,1,21.0,1,,,,45.478363,10.209234,45.478363,10.209234
EIT InnoEnergy SE; Engie New Ventures SA; Forvia SE; Groupe IDEC SAS; Mitsubishi Heavy Industries Ltd; Plug Power Inc,0.0,2,,2,,,,52.855224,13.115966,62.273929,21.379356
ETRHB Industrie SpA [100.0%],0.0,1,,1,,,,36.834412,7.45494,36.834412,7.45494
EVRAZ PLC,0.0,2,104.0,2,,,,44.37038,-104.619242,50.51499,-104.630589
EVRAZ PLC [100.0%],7200.0,2,89.0,1,2023.0,2023.0,,55.9045155,73.6455805,53.88618,87.257618
Egyptian Iron & Steel Co [100.0%],3000.0,1,64.0,1,,,,29.774458,31.312013,29.774458,31.312013
Ekinciler Holding AŞ,0.0,1,36.0,1,,,,36.690115,36.205739,36.690115,36.205739
Ekoinvest LLC [45.6%]; Lanafinans LLC [45.6%]; Oninvest LLC [8.8%],0.0,1,0.0,1,,,,55.323946,42.150702,55.323946,42.150702
Ekos Steel Mill PLC [100.0%],0.0,1,7.0,1,,,,8.781155,38.932065,8.781155,38.932065
Electrosteel Castings Ltd [100.0%],500.0,1,31.0,1,,,,13.717188,79.630588,13.717188,79.630588
Empresa Siderurgica del Peru SAA [100.0%],0.0,1,67.0,1,,,,-9.059693,-78.601178,-9.059693,-78.601178
Empresa Siderúrgica del Mutún [100.0%],400.0,1,0.53,1,,,,-19.137325,-57.880605,-19.137325,-57.880605
Emsteel Building Materials PJSC [100.0%],0.0,1,22.0,1,,,,24.322033,54.467987,24.322033,54.467987
Engiana Establishment [100.0%],0.0,2,49.0,2,2023.0,,,58.895638000000005,5.5152505000000005,66.311519,14.167557
Eregli Demir ve Celik Fabrikalari AŞ [100.0%],0.0,1,60.0,1,,,,41.261469,31.420106,41.261469,31.420106
Ezz Steel Co [100.0%],0.0,1,31.0,1,2021.0,2021.0,,30.382179,30.563029,30.382179,30.563029
Ezz Steel Co [64.1%]; unknown [35.9%],0.0,1,27.0,1,2021.0,2021.0,,29.692045,32.322117,29.692045,32.322117
Faizan Steel [100.0%],0.0,1,15.0,1,,,,24.897652,66.985678,24.897652,66.985678
Fangda Special Steel Technology Co Ltd [100.0%],3843.0,1,67.11,1,,,,28.645441,115.99204,28.645441,115.99204
Feng Hsin Steel Co Ltd [100.0%],0.0,1,54.0,1,,,,24.31287,120.712774,24.31287,120.712774
Feralpi Holding SpA,0.0,3,47.666666666666664,2,2023.0,2021.0,,47.38167766666667,11.356367,51.3128,13.280386
Ferrangoland; Modulax Industria E Comercio Ltda,0.0,1,2.03,1,,,,-14.650166,16.925606,-14.650166,16.925606
Ferrostal Labedy SP zoo [100.0%],0.0,1,32.0,1,,,,50.357438,18.610739,50.357438,18.610739
Fin.Fer. SpA,0.0,2,56.0,1,,,,43.4357775,14.453472999999999,46.232199,13.079104
Finarvedi SpA,0.0,1,33.0,1,,,,45.145949,9.950821,45.145949,9.950821
Finmar SRL; Marfin SRL,0.0,2,52.0,2,,,,48.422301,1.7254934999999998,43.445004,4.846805
Firm Partner Plus LLP; natural person(s),0.0,1,,1,,,,49.8902647,73.7561639,49.8902647,73.7561639
Fortescue Ltd [100.0%],0.0,1,0.0,1,,,,-22.398723,119.725896,-22.398723,119.725896
Fugian Overseas Chinese Industrial Group Corp [74.0%]; Social Security and National Insurance Trust (Ghana) [26.0%],0.0,1,10.0,1,,,,5.670032010618004,0.0158561829466604,5.670032010618004,0.0158561829466604
Fuhai Group New Energy Holding Co Ltd [100.0%],0.0,1,,1,,,,-1.556636,103.679366,-1.556636,103.679366
Fujian Dingsheng Steel Co Ltd [100.0%],0.0,1,7.0,1,,,,27.224477,120.328828,27.224477,120.328828
Fujian Great Dong Hai Industrial Group Co Ltd [100.0%],0.0,1,7.0,1,,,,25.737777,119.592239,25.737777,119.592239
Fujian Hengwang Investment Co Ltd [100.0%],0.0,1,,1,,,,42.3375414,69.7356008,42.3375414,69.7356008
Fujian Huaya Group Co Ltd [64.1%]; natural person(s) [32.8%]; unknown [3.2%],0.0,1,22.62,1,,,,35.934831,111.49707,35.934831,111.49707
Fujian Lanming Investment Partnership LP [25.2%]; unknown [14.9%]; natural person(s) [13.9%]; Fujian Lanrui Investment Partnership LP [12.5%]; Fujian Qikun Investment Co Ltd [5.8%]; Fujian Zhongyi Investment Co Ltd [5.0%]; Fujian Taisong Investment Co Ltd [3.3%]; Fujian Qinghe Investment Co Ltd [1.9%]; Fujian Jinkun Investment Co Ltd [1.8%]; Fuzhou Deyu Investment Co Ltd [1.8%]; Fujian Shunle Investment Co Ltd [1.8%]; Fujian Yuheng Investment Co Ltd [1.8%]; Fuzhou Minqiu Trading Co Ltd [1.7%]; Fenghe Investment (Fujian) Co Ltd [1.4%]; Fujian Jingyuan Investment Co Ltd [1.4%]; Fujian Junao Investment Co Ltd [1.4%]; Fujian Yongxinqi Investment Co Ltd [1.4%]; Yuncheng Investment (Fujian) Co Ltd [1.4%]; Pingtan Shengxin Investment Partnership LP [1.4%],0.0,1,4.0,1,,,,22.888729,112.263081,22.888729,112.263081
Fujian Lanyue Investment Partnership LP [25.5%]; Fujian Lantian Investment Partnership LP [16.7%]; Fujian Lanze Investment Partnership LP [14.0%]; unknown [10.5%]; Fujian Jinkun Investment Co Ltd [4.3%]; Fuzhou Deyu Investment Co Ltd [4.3%]; Fujian Taisong Investment Co Ltd [3.8%]; Fujian Honghang Investment Co Ltd [2.0%]; Fujian Xinghan Investment Co Ltd [2.0%]; Fujian Qinghe Investment Co Ltd [1.9%]; Fujian Yinchen Investment Co Ltd [1.9%]; Fenghe Investment (Fujian) Co Ltd [1.7%]; Fujian Jingyuan Investment Co Ltd [1.7%]; Fujian Junao Investment Co Ltd [1.7%]; Fujian Yongxinqi Investment Co Ltd [1.7%]; Yuncheng Investment (Fujian) Co Ltd [1.7%]; Fujian Quanlong Investment Co Ltd [1.6%]; Fujian Shengwei Investment Co Ltd [1.6%]; Fujian Shunle Investment Co Ltd [1.5%],0.0,2,25.5,1,,,,23.5457045,114.820847,23.693659,114.743048
Fujian Longgang New Materials Co Ltd [100.0%],0.0,2,,1,,,,32.3334895,112.076513,25.357408,117.362096
Fujian Metallurgical Holding Co Ltd [53.4%]; unknown [46.6%],15531.0,3,19.666666666666668,1,,,,25.996439999999996,118.43855466666666,26.261109,117.614709
Fujian Shangkun Investment Co Ltd [62.5%]; Fujian Kangye Investment Co Ltd [37.5%],0.0,1,17.0,1,,,,31.50221,114.008142,31.50221,114.008142
Fujian Wugang Group Co Ltd [38.2%]; Fujian Kaihang Stainless Steel Products Co Ltd [36.8%]; Tianwei Co Ltd [25.0%],0.0,1,32.0,1,,,,25.95923,119.452018,25.95923,119.452018
Fujian Xinsheng Investment Co Ltd [85.0%]; Pingtan Longxin Investment Co Ltd [15.0%],0.0,1,5.78,1,,,,29.501044,103.607365,29.501044,103.607365
Fujian Yongjianguo Investment Development Co Ltd [50.0%]; natural person(s) [35.0%]; Guangxi Changheng Investment Co Ltd [15.0%],0.0,2,18.5,1,,,,22.785653,109.11917,22.712996,109.33725
Fundacion Jose Luis Gabriel; Industrial Assets Fund LP,0.0,1,31.0,1,,,,14.232007,-90.815444,14.232007,-90.815444
Fushun Special Steel Co Ltd [100.0%],0.0,1,88.0,1,,,,41.838774,123.806586,41.838774,123.806586
G J Steel PCL [100.0%],0.0,1,30.0,1,,,,13.054668,101.078842,13.054668,101.078842
GFG Alliance Ltd,1000.0,11,74.0,8,2021.3333333333333,2022.0,,32.02226772727273,19.18156290909091,46.945694,18.93863
GFG Alliance Ltd [100.0%],0.0,1,84.0,1,,,,-33.009381,137.587836,-33.009381,137.587836
GLGH Steel [100.0%],0.0,1,254.0,1,,,,45.293492,21.90241,45.293492,21.90241
GPH Ispat Ltd [100.0%],0.0,1,17.05,1,,,,22.536569,91.700729,22.536569,91.700729
Gallantt Ispat Ltd [100.0%],0.0,1,,1,,,,26.757009,83.199086,26.757009,83.199086
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd [100.0%],11755.0,2,24.0,1,,,,37.9228835,101.165545,39.812121,98.295555
Gaolan County Lanxin Steel Co Ltd [100.0%],0.0,1,24.0,1,,,,36.488866,103.922,36.488866,103.922
Georgsmarienhütte Holding GmbH [100.0%],0.0,1,169.0,1,,,,52.2122334,8.0420724,52.2122334,8.0420724
Gerdau SA [100.0%],5462.0,2,42.0,1,,,,-21.721343500000003,-44.550337999999996,-20.543507,-43.75295
Gerdau SA [73.6%]; Grupo Córdova [25.0%],0.0,2,25.5,1,2021.0,,,19.6918405,-98.88839899999999,19.753326,-98.596483
Gerdau SA [98.1%],0.0,1,8.0,1,2022.0,,,-32.9912336,-60.7588733,-32.9912336,-60.7588733
Gerdau SA [98.2%],0.0,8,45.25,2,2023.0,,,38.195105875,-87.21793325,43.856461,-78.908997
Gerdau SA [99.8%],0.0,4,47.0,1,,,,-23.014758,-46.28457325,-22.90242,-43.749319
Ghadir Investment Company PJSC [65.0%]; Iranian Mines & Mining Industries Development & Renovation Organization [35.0%],2500.0,1,7.0,1,,,,29.168087,54.621487,29.168087,54.621487
Godawari Power and Ispat Ltd [100.0%],6300.0,2,24.0,1,,,,21.470623,81.7106675,21.565032,81.739447
Godo Steel Ltd [100.0%],0.0,3,67.5,1,,,,35.057881,136.68735066666667,35.697541,139.964104
Godo Steel Ltd; Kyoei Steel Ltd; MM Construction Materials Co Ltd,0.0,1,75.36,1,2021.0,,,34.699762,135.430119,34.699762,135.430119
Gold Geneses Development Ltd [57.2%]; FIRST GLORY SERVICES Ltd [38.0%]; unknown [4.8%],16840.0,1,39.0,1,,,,40.209844,118.220547,40.209844,118.220547
Golden Bell Enterprises Ltd [41.5%]; Xuan Gang International Trading (HK) Co Ltd [41.5%]; Yinglong Industrial Co Ltd [16.9%],0.0,1,23.0,1,,,,21.96092,113.198718,21.96092,113.198718
Golgohar Mining and Industrial Co [51.0%]; Iran National Copper Industries Pension Fund [49.0%],0.0,1,16.0,1,,,,29.13806,55.375073,29.13806,55.375073
Government of North Korea [100.0%],0.0,4,87.5,1,,,,40.300073,127.68613049999999,38.926348,125.582628
Government of Uzbekistan [80.0%]; unknown [20.0%],0.0,1,81.0,1,,,,40.233432,69.290873,40.233432,69.290873
Grand Royal Co Ltd [45.2%]; Sichuan Jintong Investment Co Ltd [14.0%]; unknown [11.7%]; Sichuan Chuanwei Group Co Ltd Labor Union [9.5%]; Sichuan Chuanwei Group Co Ltd [8.6%]; Sichuan Yiweili Investment Co Ltd [6.0%]; Weiyuan Tianyue Enterprise Management Co Ltd [5.0%],0.0,1,19.02,1,,,,29.732143,104.504339,29.732143,104.504339
Green & Clean Holdings LLC [100.0%],0.0,1,0.28,1,,,,35.686814,-89.961981,35.686814,-89.961981
Green Esteel Pte Ltd,0.0,1,,1,,,,6.104211,116.202218,6.104211,116.202218
Green Esteel Pte Ltd [100.0%],0.0,2,36.5,1,,,,3.3526755,109.5800115,1.451512,103.917306
Groupe Industriel Sider SpA [100.0%],0.0,1,56.0,1,,,,36.795924,7.707633,36.795924,7.707633
Grupo Acerero del Norte SA de CV [64.0%]; small shareholder(s) [36.0%],6463.0,1,81.0,1,,,,26.876889,-101.416612,26.876889,-101.416612
Grupo Ferroeste,0.0,1,10.0,1,,,,-4.874373,-47.4073517,-4.874373,-47.4073517
Grupo Fonderia SA de CV,0.0,1,21.0,1,,,,22.087328,-100.901902,22.087328,-100.901902
Grupo Simec SAB de CV,0.0,2,132.5,1,,,,41.127235999999996,-81.7325635,40.804114,-81.334002
Grupo Simec SAB de CV [100.0%],0.0,4,33.05,2,,,,-0.4414674999999999,-71.19551925,-20.34291,-40.360864
Guang Yang An Tai Holdings Ltd [91.0%]; Jinan Yanshan Investment Co Ltd [9.0%],0.0,1,56.0,1,,,,36.22141,117.627728,36.22141,117.627728
"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd [100.0%]",0.0,1,13.79,1,,,,31.0494162,119.5296269,31.0494162,119.5296269
Guangdong Guangxin Holdings Group Ltd [48.9%]; Shanghai Decent Investment (Group) Co Ltd [17.0%]; unknown [16.9%]; TSINGSHAN Holding Group Co Ltd [13.4%]; Zhejiang Qingshan Business Management Co Ltd [3.8%],300.0,1,15.0,1,,,,21.697069,111.848841,21.697069,111.848841
Guangdong Jinhai Brilliant Group Co Ltd [100.0%],0.0,1,15.0,1,,,,23.518229,111.235509,23.518229,111.235509
Guangdong Metals & Minerals Import & Export Group Corp; Shengli (Fujian) Investment Group Corp,0.0,1,17.0,1,,,,20.652657,106.440208,20.652657,106.440208
Guangxi Beibu Gulf International Port Group Co Ltd [100.0%],3400.0,1,16.0,1,,,,21.519924,109.506427,21.519924,109.506427
Guangxi Beibu Gulf International Port Group Co Ltd [50.0%]; Guangxi Shenglong Metallurgical Co Ltd [50.0%],0.0,1,8.0,1,,,,4.007595,103.344458,4.007595,103.344458
Guangxi Guigang Iron and Steel Group Co Ltd [44.0%]; Guigang Helong Investment Partnership LP [41.8%]; Guigang Herun Investment Partnership LP [12.5%]; unknown [1.7%],0.0,1,7.0,1,,,,23.089502,109.63938,23.089502,109.63938
Guangxi Guixin Steel Group Co Ltd [100.0%],0.0,1,32.0,1,,,,23.978962,111.735523,23.978962,111.735523
Guangxi Hezhou Kexinda Metal Products Co Ltd [100.0%],0.0,1,21.0,1,,,,23.979937,111.745037,23.979937,111.745037
Guangxi Liuzhou Iron and Steel Group Co Ltd [100.0%],1200.0,1,12.0,1,,,,21.67261,109.741866,21.67261,109.741866
Guangxi Longzhou Yishuo Investment Management Co Ltd [100.0%],0.0,2,16.5,1,,,,23.1567485,109.43017850000001,23.987136,111.914197
Guangxi Shenglong Metallurgical Co Ltd [100.0%],0.0,1,22.0,1,,,,21.687637,108.412344,21.687637,108.412344
Guangxi Xingui Steel Group Co Ltd [65.0%]; natural person(s) [35.0%],0.0,1,28.0,1,,,,24.673567,110.78959,24.673567,110.78959
Guiyang Changle Iron and Steel Co Ltd [33.3%]; Qianxinan Prefecture Juxin Industry & Trade General Co [33.3%]; Zunyi County Fuxin Iron & Steel Product Co Ltd [33.3%],0.0,1,11.0,1,,,,27.591691,106.814024,27.591691,106.814024
Guizhou Ganglian Industrial Group Co Ltd [100.0%],0.0,1,11.0,1,,,,27.615147,106.949926,27.615147,106.949926
Gulf Investment Corp; Oman Development Fund Company SAOC; Sultan Special Force Pension Fund,0.0,1,5.0,1,,,,24.409437,56.520134,24.409437,56.520134
Guotao Co Ltd (Hong Kong) [61.0%]; Tangshan GUOYI SPECIAL Steel Co Ltd [20.0%]; Yushan (Beijing) Metallurgical Investment Co Ltd [19.0%],5950.0,1,3.0,1,,,,39.293147,119.046972,39.293147,119.046972
Guotao Co Ltd (Hong Kong) [76.3%]; Yushan (Beijing) Metallurgical Investment Co Ltd [23.7%],6451.0,1,23.0,1,,,,40.183913,118.073913,40.183913,118.073913
HBIS Co Ltd [51.0%]; Cambodia Rongfeng Investment Co Ltd [25.1%]; Hebei Wenfeng Industrial Group Co Ltd [23.9%],0.0,1,19.0,1,,,,39.268452,119.024819,39.268452,119.024819
HBIS Co Ltd [69.1%]; HBIS Group Co Ltd [7.7%]; Hebei Province Jicai Lndustryl Equity Lnvestment Fund Co Ltd [7.0%]; China Everbright Group Ltd [6.5%]; Gansu Provincial State-owned Assets Investment Group Co Ltd [3.0%]; Tangshan City Development Group Co Ltd [2.9%]; Gansu Financial Holding Group Co Ltd [2.0%]; unknown [0.9%]; Gansu Highway Aviation Tourism Investment Group Co Ltd [0.8%],8803.0,1,5.0,1,,,,39.257823,119.033567,39.257823,119.033567
HBIS Group Co Ltd,0.0,1,61.0,1,,,,44.606332,20.970066,44.606332,20.970066
HBIS Group Co Ltd [100.0%],0.0,5,43.582,1,,,,38.898292000000005,115.8553424,40.947707,117.719747
HBIS Group Co Ltd [51.0%]; Hebei Yinshui Industrial Group Co Ltd [49.0%],6500.0,2,16.5,1,,,,39.4298775,118.321497,39.160401,118.429806
HBIS Group Co Ltd [53.1%]; China Baowu Steel Group Co Ltd [27.7%]; China Huarong Asset Management Co Ltd [8.3%]; HBIS Co Ltd [8.1%]; unknown [2.8%],0.0,1,55.0,1,,,,33.287536,113.474328,33.287536,113.474328
HBIS Group Co Ltd [68.9%]; Metallurgical Corporation of China Ltd [23.9%]; unknown [7.2%],0.0,2,22.0,1,,,,39.445598000000004,118.448707,39.160401,118.429806
HBIS Group Co Ltd [74.7%]; HBIS International Holdings Ltd [24.9%]; unknown [0.4%],0.0,2,34.0,1,,,,38.067871499999995,114.2967005,38.060735,114.560358
Habas Industrial and Medical Gases Production Industries AŞ [100.0%],0.0,1,38.0,1,,,,38.751462,26.950172,38.751462,26.950172
Hadeed Metal Manufacturing Co [100.0%],0.0,1,13.0,1,,,,33.626258,36.574968,33.626258,36.574968
Hai Kwang Enterprise Corp [100.0%],0.0,1,56.0,1,,,,22.550634,120.365645,22.550634,120.365645
Halyvourgiki SA [100.0%],0.0,1,91.0,1,,,,38.043873,23.508083,38.043873,23.508083
Hamsho International Co,0.0,1,15.0,1,,,,34.364258,36.803848,34.364258,36.803848
Handan Yongnian Shengda Steel Co Ltd [49.0%]; WEALTH GROUP INVESTMENT LIMITED [39.8%]; Wu'an Hongji Investment Co Ltd [6.5%]; unknown [2.1%],0.0,1,32.0,1,,,,36.786851,114.376132,36.786851,114.376132
Hang Zhou Iron & Steel Co Ltd [100.0%],4402.0,1,22.66,1,,,,29.918776,121.876423,29.918776,121.876423
Haojun Development Group Co Ltd [49.0%]; natural person(s) [26.8%]; Yunnan Desheng Steel Co Ltd [14.0%]; Yunnan Desheng Logistics Co Ltd [10.2%],2800.0,1,28.0,1,,,,29.39798,103.542532,29.39798,103.542532
Haojun Development Group Co Ltd [49.0%]; natural person(s) [29.5%]; Yunnan Desheng Logistics Co Ltd [21.5%],0.0,1,25.02,1,,,,25.142516,102.077727,25.142516,102.077727
Hebei Anfeng Iron & Steel Co Ltd [100.0%],2000.0,1,23.0,1,,,,39.65849,118.894804,39.65849,118.894804
Hebei Baoxin Iron and Steel Group Co Ltd [100.0%],2000.0,1,19.0,1,,,,36.555205,114.108273,36.555205,114.108273
Hebei Bishi Industry Group Co Ltd [100.0%],0.0,1,,1,,,,-6.896426,110.220286,-6.896426,110.220286
Hebei Donghai SPECIAL Steel Group Co Ltd [100.0%],0.0,1,16.0,1,,,,39.610605,118.474722,39.610605,118.474722
Hebei Jianen Trading Co Ltd [48.1%]; Xing Steel Fine Wire Holdings Co Ltd [26.0%]; Xingtai Jinglin Trading Co Ltd [25.9%],0.0,2,67.0,1,,,,37.036845,114.909232,37.041601,114.452352
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd [100.0%],0.0,1,25.0,1,,,,36.664097,114.115263,36.664097,114.115263
Hebei Puyang Industrial Group Co Ltd [45.5%]; Xianghe Hongcheng New Energy Technology Co Ltd [27.6%]; Longxiang Group (Hong Kong) [24.5%]; unknown [2.4%],0.0,1,41.0,1,,,,36.640411,113.981172,36.640411,113.981172
Hebei Puyang Industrial Group Co Ltd [65.0%]; Longxiang Group (Hong Kong) [35.0%],10416.0,1,33.0,1,,,,36.733675,113.925995,36.733675,113.925995
Hebei Taihang Iron and Steel Group Co Ltd [100.0%],0.0,2,20.5,1,,,,36.662234999999995,114.145102,36.613716,114.082349
Hebei Tianzhu IRON&STEEL (GROUP) Co Ltd [100.0%],0.0,2,11.25,1,,,,39.536778,118.6097115,39.270032,119.01376
Hebei Wenfeng STEEL&IRON Co Ltd [100.0%],0.0,1,20.0,1,,,,36.64577,114.124258,36.64577,114.124258
Hebei Xinfeng High-pressure Flange and Pipe Fitting Co Ltd [100.0%],0.0,1,,1,,,,29.71349,32.31094,29.71349,32.31094
Hebei Xinhua United Metallurgical Holding Group Co Ltd [43.2%]; China Railway Materials Group Holdings Ltd [27.0%]; Shuangyao Investment Co Ltd [21.1%]; Sinogiant Steel HOLDINGS Group Ltd [7.9%]; unknown [0.9%],0.0,1,6.0,1,,,,39.222566,118.094201,39.222566,118.094201
Hebei Xinwuan Iron and Steel Group Co Ltd [100.0%],0.0,1,,1,,,,3.586453,113.359851,3.586453,113.359851
Hebei Yanshan Iron and Steel Group Co Ltd [100.0%],0.0,1,23.0,1,,,,39.925508,118.672757,39.925508,118.672757
Heico Companies LLC,0.0,1,54.0,1,,,,45.613941,-74.704608,45.613941,-74.704608
Hejin Huaxinyuan Steel & Iron Co Ltd [100.0%],0.0,1,22.67,1,,,,35.605506,110.652056,35.605506,110.652056
Hellenic Halyvourgia SA [100.0%],0.0,1,62.0,1,2024.0,2024.0,,39.38588,22.80745,39.38588,22.80745
Henan Fengbao SPECIAL Steel Co Ltd [100.0%],0.0,1,24.0,1,,,,36.131666,113.872158,36.131666,113.872158
Henan JINHUI Stainless Indutrial Group Co Ltd [83.0%]; Changge Huida Trading Co Ltd [17.0%],0.0,1,20.0,1,,,,34.263509,113.853979,34.263509,113.853979
"Henan Jingchang Coal Chemical Co Ltd [90.0%]; Henan Xinlei Group HOLDINGS Co Ltd [6.2%]; Henan LIYUAN Coking Group Co Ltd [1.3%]; Henan Shuncheng Group,coal Co Ltd [1.3%]; Henan Yulong Coking Co Ltd [1.3%]",0.0,1,21.0,1,,,,36.152418,114.15839,36.152418,114.15839
Henan Jiyuan Iron and Steel Investment Holding Co Ltd [48.6%]; unknown [35.0%]; Tianjin Jinyuan Guotai Enterprise Management Consulting Co Ltd [10.0%]; Trade Union Committee of Henan Jiyuan Iron and Steel (Group) [6.4%],0.0,1,67.0,1,,,,35.086396,112.553774,35.086396,112.553774
Henan Longcheng Group Co Ltd [100.0%],0.0,1,22.0,1,,,,33.269324,111.534635,33.269324,111.534635
Henan Wugang Huayu Materials Co Ltd [75.0%]; Hongxing (Hong Kong) Co Ltd [25.0%],0.0,1,23.0,1,,,,33.29175,113.458011,33.29175,113.458011
Henan YAXIN Steel Industry Co Ltd [100.0%],0.0,1,22.0,1,,,,35.879956,114.334825,35.879956,114.334825
Hengde International Co Ltd [27.4%]; Jiangsu Shagang Group Co Ltd [21.3%]; Zhangjiagang Free Trade Zone Rongrun Trade Co Ltd [16.8%]; unknown [12.4%]; Zhangjiagang Free Trade Zone Qianxing Investment Trade Co Ltd [10.5%]; Zhangjiagang Free Trade Zone Runyuan Stainless Steel Trade Co Ltd [6.4%]; Ningbo Meishan Free Trade Port Jincheng Shazhou Equity Investment Co Ltd [5.2%],0.0,1,32.0,1,,,,36.143573,114.149964,36.143573,114.149964
Hengde International Co Ltd [28.2%]; Hong Kong Hengde Co Ltd [25.0%]; Jiangsu Shagang Group Co Ltd [22.0%]; unknown [12.8%]; Zhangjiagang Free Trade Zone Runyuan Stainless Steel Trade Co Ltd [6.6%]; Ningbo Meishan Free Trade Port Jincheng Shazhou Equity Investment Co Ltd [5.4%],0.0,1,23.16,1,,,,31.983146,120.638992,31.983146,120.638992
Hengjin Huitong Asset Management (Beijing) Co Ltd [60.0%]; natural person(s) [18.7%]; Jilin Tianpeng Industrial Co Ltd [17.2%]; unknown [4.1%],0.0,1,17.82,1,,,,42.3249,125.246892,42.3249,125.246892
Heping Yueshen Steel Industrial Co Ltd [100.0%],0.0,1,14.0,1,,,,24.49796,114.93888,24.49796,114.93888
Hesteel Group Co Ltd,0.0,1,58.0,1,,,,42.016228,21.46605,42.016228,21.46605
Hezhou Xindu Sanyuan Casting Co Ltd [100.0%],0.0,1,9.0,1,,,,23.987007,111.739775,23.987007,111.739775
Hezhou Zhaoxin Hardware Products Co Ltd [100.0%],0.0,1,25.0,1,,,,23.978567,111.735529,23.978567,111.735529
Hilal Al-Tuwairqi [60.0%]; unknown [40.0%],2500.0,1,36.0,1,2020.0,,,26.277917,49.949177,26.277917,49.949177
Hilal Al-Tuwairqi; unknown,0.0,1,21.0,1,2020.0,,,26.244786,49.969064,26.244786,49.969064
Hoa Phat Group JSC [100.0%],2100.0,2,13.0,1,,,,18.19652,107.664672,15.37768,108.793321
Hoa Sen Group [100.0%],0.0,1,15.0,1,,,,10.595295,107.044846,10.595295,107.044846
Hong Kong Qianlong Co Ltd [67.2%]; natural person(s) [32.8%],2300.0,1,22.15,1,,,,32.027791,119.57706,32.027791,119.57706
Houying Group Haicheng Iron and Steel Co Ltd [100.0%],0.0,1,19.13,1,,,,40.981855,122.948643,40.981855,122.948643
Huachuang Jiangsu Investment Co Ltd [80.4%]; natural person(s) [19.6%],0.0,1,67.0,1,,,,33.211332,120.774892,33.211332,120.774892
Huahong Iron and Steel Products Co Ltd [100.0%],0.0,1,22.95,1,,,,28.090098,119.519509,28.090098,119.519509
Huainan Hongtai Steel Limited Liability Co [100.0%],0.0,1,24.0,1,,,,32.619248,116.905869,32.619248,116.905869
Huasheng Jiangquan Group Co Ltd [100.0%],0.0,1,18.58,1,,,,34.951117,118.305389,34.951117,118.305389
Huaxin Special Steel Holdings Co Ltd [75.0%]; Walsin Lihwa Holdings Ltd [4.6%]; Concord Industries Ltd,0.0,1,18.48,1,,,,37.548627,121.277488,37.548627,121.277488
Hubei Jinshenglan Metallurgical Technology Co Ltd [62.6%]; Yuncheng Investment (Fujian) Co Ltd [9.1%]; Fujian Yongxinqi Investment Co Ltd [6.8%]; Fujian Taisong Investment Co Ltd [4.9%]; Fujian Jinkun Investment Co Ltd [4.2%]; Fuzhou Deyu Investment Co Ltd [3.6%]; Fujian Qikun Investment Co Ltd [2.5%]; Fujian Hongyao Investment Co Ltd [2.4%]; Fujian Shunle Investment Co Ltd [1.9%]; unknown [1.9%],0.0,2,12.0,1,,,,30.228689,114.2868575,30.532352,114.747597
Hubei Lijin Steel Group Co Ltd [100.0%],0.0,1,23.0,1,,,,32.127263,112.715688,32.127263,112.715688
Hubei Rongfu Real Estate Group Co Ltd [50.0%]; natural person(s) [50.0%],0.0,1,,1,,,,30.586332,111.398846,30.586332,111.398846
